2020/11/04 03:12:01,Alabama,753131,0.397,0.59,2300000
2020/11/04 03:14:02,Alabama,754766,0.397,0.591,2300000
2020/11/04 03:14:47,Alabama,761603,0.394,0.593,2300000
2020/11/04 03:15:22,Alabama,769023,0.395,0.593,2300000
2020/11/04 03:16:18,Alabama,804036,0.392,0.596,2300000
2020/11/04 03:16:42,Alabama,832953,0.383,0.605,2300000
2020/11/04 03:17:36,Alabama,845228,0.379,0.609,2300000
2020/11/04 03:18:38,Alabama,854682,0.38,0.608,2300000
2020/11/04 03:19:26,Alabama,887955,0.382,0.606,2300000
2020/11/04 03:20:10,Alabama,905303,0.378,0.61,2300000
2020/11/04 03:20:36,Alabama,917962,0.376,0.612,2300000
2020/11/04 03:21:04,Alabama,926122,0.374,0.614,2300000
2020/11/04 03:22:41,Alabama,927741,0.374,0.614,2300000
2020/11/04 03:23:35,Alabama,961095,0.368,0.62,2300000
2020/11/04 03:24:12,Alabama,970877,0.367,0.621,2300000
2020/11/04 03:25:19,Alabama,1019460,0.362,0.625,2300000
2020/11/04 03:25:56,Alabama,1020191,0.362,0.626,2300000
2020/11/04 03:26:28,Alabama,1036595,0.363,0.624,2300000
2020/11/04 03:26:41,Alabama,1042877,0.366,0.622,2300000
2020/11/04 03:28:28,Alabama,1045742,0.365,0.623,2300000
2020/11/04 03:30:56,Alabama,1053693,0.365,0.623,2300000
2020/11/04 03:32:55,Alabama,1091758,0.365,0.623,2300000
2020/11/04 03:33:16,Alabama,1093509,0.365,0.623,2300000
2020/11/04 03:33:50,Alabama,1109466,0.363,0.625,2300000
2020/11/04 03:34:12,Alabama,1118645,0.361,0.627,2300000
2020/11/04 03:35:23,Alabama,1131209,0.359,0.629,2300000
2020/11/04 03:36:04,Alabama,1139283,0.358,0.631,2300000
2020/11/04 03:36:19,Alabama,1163951,0.356,0.632,2300000
2020/11/04 03:36:41,Alabama,1169348,0.356,0.632,2300000
2020/11/04 03:39:21,Alabama,1181775,0.361,0.627,2300000
2020/11/04 03:41:28,Alabama,1230361,0.361,0.627,2300000
2020/11/04 03:44:11,Alabama,1274884,0.364,0.624,2300000
2020/11/04 03:44:37,Alabama,1275671,0.364,0.624,2300000
2020/11/04 03:44:58,Alabama,1281555,0.365,0.622,2300000
2020/11/04 03:46:24,Alabama,1286158,0.366,0.621,2300000
2020/11/04 03:48:07,Alabama,1291940,0.367,0.62,2300000
2020/11/04 03:49:33,Alabama,1310559,0.366,0.621,2300000
2020/11/04 03:49:58,Alabama,1326406,0.363,0.624,2300000
2020/11/04 03:50:06,Alabama,1355319,0.363,0.624,2300000
2020/11/04 03:51:49,Alabama,1441203,0.356,0.631,2300000
2020/11/04 03:52:41,Alabama,1447063,0.355,0.632,2300000
2020/11/04 03:53:35,Alabama,1458644,0.355,0.632,2300000
2020/11/04 03:54:06,Alabama,1504394,0.352,0.635,2300000
2020/11/04 03:54:19,Alabama,1527500,0.35,0.637,2300000
2020/11/04 03:55:07,Alabama,1529147,0.35,0.637,2300000
2020/11/04 03:55:21,Alabama,1537999,0.35,0.638,2300000
2020/11/04 03:56:43,Alabama,1544770,0.349,0.639,2300000
